player_name,stats
 Jerry Sloan,"{'games_played': 755, 'points_per_game': 14.0, 'rebounds_per_game': 7.4, 'assists_per_game': 2.5}"
 Frank Ramsey,"{'games_played': 623, 'points_per_game': 13.4, 'rebounds_per_game': 5.5, 'assists_per_game': 1.8}"
 Bill Sharman,"{'games_played': 711, 'points_per_game': 17.8, 'rebounds_per_game': 3.9, 'assists_per_game': 3.0}"
 Arnie Risen,"{'games_played': 637, 'points_per_game': 12.0, 'rebounds_per_game': 9.7, 'assists_per_game': 1.7}"
 Dino Radja,"{'games_played': 224, 'points_per_game': 16.7, 'rebounds_per_game': 8.4, 'assists_per_game': 1.6}"
 Mitch Richmond,"{'games_played': 976, 'points_per_game': 21.0, 'rebounds_per_game': 3.9, 'assists_per_game': 3.5}"
 Scottie Pippen,"{'games_played': 1178, 'points_per_game': 16.1, 'rebounds_per_game': 6.4, 'assists_per_game': 5.2}"
 Dražen Petrović,"{'games_played': 290, 'points_per_game': 15.4, 'rebounds_per_game': 2.3, 'assists_per_game': 2.4}"
 Pat Riley,"{'games_played': 528, 'points_per_game': 7.4, 'rebounds_per_game': 1.6, 'assists_per_game': 1.7}"
 Gary Payton,"{'games_played': 1335, 'points_per_game': 16.3, 'rebounds_per_game': 3.9, 'assists_per_game': 6.7}"
 Hakeem Olajuwon,"{'games_played': 1238, 'points_per_game': 21.8, 'rebounds_per_game': 11.1, 'assists_per_game': 2.5}"
 Shaquille O'Neal,"{'games_played': 1207, 'points_per_game': 23.7, 'rebounds_per_game': 10.9, 'assists_per_game': 2.5}"
 Robert Parish,"{'games_played': 1611, 'points_per_game': 14.5, 'rebounds_per_game': 9.1, 'assists_per_game': 1.4}"
 Jim Pollard,"{'games_played': 438, 'points_per_game': 13.2, 'rebounds_per_game': 7.8, 'assists_per_game': 3.2}"
 Steve Nash,"{'games_played': 1217, 'points_per_game': 14.3, 'rebounds_per_game': 3.0, 'assists_per_game': 8.5}"
 Andy Phillip,"{'games_played': 701, 'points_per_game': 9.1, 'rebounds_per_game': 4.4, 'assists_per_game': 5.4}"
 Chris Mullin,"{'games_played': 986, 'points_per_game': 18.2, 'rebounds_per_game': 4.1, 'assists_per_game': 3.5}"
